region,state,city,park,launch_tier,likely_subsites,review_status
Northeast,PA,Pittsburgh,Point State Park,anchor,yes,super-enriched
Northeast,PA,Pittsburgh,Highland Park,anchor,yes,super-enriched
Northeast,PA,Pittsburgh,Riverview Park,anchor,yes,super-enriched
Northeast,PA,Pittsburgh,Emerald View Park,anchor,yes,super-enriched
Northeast,PA,Pittsburgh,Mellon Park,anchor,yes,super-enriched
Northeast,PA,Pittsburgh,North Shore Riverfront Park,anchor,yes,super-enriched
Northeast,DE,Wilmington,Brandywine Park,anchor,yes,candidate
Northeast,DE,Wilmington,Rockford Park,supporting,yes,candidate
Mid-Atlantic,MD,Baltimore,Druid Hill Park,anchor,yes,super-enriched
Mid-Atlantic,MD,Baltimore,Patterson Park,anchor,yes,super-enriched
Mid-Atlantic,MD,Baltimore,Federal Hill Park,anchor,yes,super-enriched
Mid-Atlantic,MD,Baltimore,Fort McHenry National Monument and Historic Shrine,anchor,yes,super-enriched
Mid-Atlantic,MD,Baltimore,Cylburn Arboretum,anchor,yes,super-enriched
Mid-Atlantic,MD,Baltimore,Gwynns Falls Leakin Park,anchor,yes,super-enriched
Mid-Atlantic,MD,Baltimore,Baltimore Waterfront Promenade,anchor,yes,super-enriched
Mid-Atlantic,MD,Baltimore,Lake Roland Park,anchor,yes,super-enriched
Mid-Atlantic,MD,Baltimore,Carroll Park,anchor,yes,super-enriched
Mid-Atlantic,DC,Washington,National Mall,anchor,yes,candidate
Mid-Atlantic,DC,Washington,Rock Creek Park,supporting,yes,candidate
Mid-Atlantic,DC,Washington,Anacostia Park,supporting,yes,candidate
Mid-Atlantic,VA,Richmond,James River Park System,anchor,yes,super-enriched
Mid-Atlantic,VA,Richmond,Byrd Park,anchor,yes,super-enriched
Mid-Atlantic,VA,Richmond,Maymont,anchor,yes,super-enriched
Mid-Atlantic,VA,Richmond,Forest Hill Park,anchor,yes,super-enriched
Mid-Atlantic,VA,Richmond,Libby Hill Park,anchor,yes,super-enriched
Mid-Atlantic,VA,Richmond,Brown's Island,anchor,yes,super-enriched
Mid-Atlantic,VA,Richmond,Virginia Museum of Fine Arts,anchor,yes,super-enriched
Mid-Atlantic,VA,Richmond,Richmond National Battlefield Park,anchor,yes,super-enriched
Mid-Atlantic,VA,Norfolk,Town Point Park,anchor,yes,super-enriched
Mid-Atlantic,VA,Norfolk,Lafayette Park,supporting,yes,candidate
Mid-Atlantic,VA,Norfolk,Norfolk Botanical Garden,anchor,yes,super-enriched
Mid-Atlantic,VA,Norfolk,Nauticus and Battleship Wisconsin,anchor,yes,super-enriched
Mid-Atlantic,VA,Virginia Beach,Mount Trashmore Park,anchor,yes,super-enriched
Mid-Atlantic,VA,Virginia Beach,First Landing State Park,anchor,yes,super-enriched
Mid-Atlantic,VA,Virginia Beach,Virginia Beach Oceanfront and Boardwalk,anchor,yes,super-enriched
Mid-Atlantic,VA,Virginia Beach,Virginia Aquarium and Marine Science Center,anchor,yes,super-enriched
Mid-Atlantic,VA,Virginia Beach,Back Bay National Wildlife Refuge and False Cape State Park,anchor,yes,super-enriched
Southeast,NC,Raleigh,Dix Park,anchor,yes,seeded
Southeast,NC,Raleigh,Pullen Park,supporting,yes,seeded
Southeast,NC,Cary,Downtown Cary Park,anchor,yes,seeded
Southeast,NC,Charlotte,Freedom Park,anchor,yes,candidate
Southeast,NC,Charlotte,Romare Bearden Park,supporting,no,candidate
Southeast,NC,Charlotte,McDowell Nature Preserve,anchor,yes,candidate
Southeast,NC,Charlotte,Reedy Creek Park and Nature Center,supporting,yes,candidate
Southeast,NC,Cherokee,Great Smoky Mountains National Park,anchor,yes,candidate
Southeast,NC,Asheville,Blue Ridge Parkway,anchor,yes,candidate
Southeast,NC,Nags Head,Jockey's Ridge State Park,anchor,yes,candidate
Southeast,NC,Danbury,Hanging Rock State Park,anchor,yes,candidate
Southeast,NC,Raleigh,William B. Umstead State Park,supporting,yes,candidate
Southeast,SC,Charleston,Waterfront Park,anchor,yes,candidate
Southeast,SC,Charleston,Hampton Park,supporting,yes,candidate
Southeast,SC,Charleston,White Point Garden,supporting,yes,candidate
Southeast,SC,Columbia,Riverfront Park,anchor,yes,candidate
Southeast,SC,Columbia,Finlay Park,supporting,yes,candidate
Southeast,GA,Savannah,Forsyth Park,anchor,yes,candidate
Southeast,GA,Savannah,Daffin Park,supporting,yes,candidate
Southeast,GA,Savannah,Skidaway Island State Park,anchor,yes,candidate
Southeast,GA,Savannah,Bonaventure Cemetery,supporting,yes,candidate
Southeast,GA,Atlanta,Piedmont Park,anchor,yes,candidate
Southeast,GA,Atlanta,Centennial Olympic Park,supporting,yes,candidate
Southeast,GA,Atlanta,Historic Fourth Ward Park,supporting,yes,candidate
Southeast,GA,Atlanta,Grant Park,anchor,yes,super-enriched
Southeast,GA,Atlanta,Westside Park,anchor,yes,super-enriched
Southeast,GA,Atlanta,Chastain Park,anchor,yes,super-enriched
Southeast,GA,Atlanta,Freedom Park,anchor,yes,super-enriched
Southeast,GA,Atlanta,Eastside Trail,anchor,yes,super-enriched
Southeast,GA,Atlanta,Cascade Springs Nature Preserve,anchor,yes,super-enriched
Southeast,GA,Atlanta,Perkerson Park,anchor,yes,super-enriched
Southeast,FL,Jacksonville,Kathryn Abbey Hanna Park,anchor,yes,candidate
Southeast,FL,Jacksonville,Metropolitan Park,supporting,yes,candidate
Southeast,FL,Jacksonville,Jessie Ball duPont Park,supporting,yes,candidate
Southeast,FL,Orlando,Lake Eola Park,anchor,yes,super-enriched
Southeast,FL,Orlando,Bill Frederick Park at Turkey Lake,supporting,yes,super-enriched
Southeast,FL,Orlando,Harry P. Leu Gardens,anchor,yes,super-enriched
Southeast,FL,Winter Park,Mead Botanical Garden,anchor,yes,super-enriched
Southeast,FL,Orlando,Blue Jacket Park,supporting,yes,super-enriched
Southeast,FL,Christmas,Orlando Wetlands,anchor,yes,super-enriched
Southeast,FL,Orlando,Lake Baldwin Park,anchor,yes,super-enriched
Southeast,FL,Orlando,Barber Park,supporting,yes,super-enriched
Southeast,FL,Tampa,Curtis Hixon Waterfront Park,anchor,yes,super-enriched
Southeast,FL,Tampa,Lettuce Lake Park,anchor,yes,super-enriched
Southeast,FL,Tampa,Julian B. Lane Riverfront Park,anchor,yes,super-enriched
Southeast,FL,Tampa,Ballast Point Park,supporting,yes,super-enriched
Southeast,FL,Tampa,Al Lopez Park,supporting,yes,candidate
Southeast,FL,St. Petersburg,Vinoy Park,anchor,yes,super-enriched
Southeast,FL,St. Petersburg,St. Pete Pier,anchor,yes,super-enriched
Southeast,FL,Tierra Verde,Fort De Soto Park,anchor,yes,super-enriched
Southeast,FL,St. Petersburg,Boyd Hill Nature Preserve,anchor,yes,super-enriched
Southeast,FL,Miami,Maurice A. Ferre Park,anchor,yes,candidate
Southeast,FL,Miami,Bayfront Park,anchor,yes,super-enriched
Southeast,FL,Miami,Matheson Hammock Park,anchor,yes,super-enriched
Southeast,FL,Fort Lauderdale,Hugh Taylor Birch State Park,anchor,yes,candidate
Southeast,FL,Fort Lauderdale,Snyder Park,supporting,yes,candidate
Southeast,FL,West Palm Beach,Okeeheelee Park,anchor,yes,candidate
Southeast,FL,West Palm Beach,Dreher Park,supporting,yes,candidate
Southeast,AL,Birmingham,Railroad Park,anchor,yes,candidate
Southeast,AL,Birmingham,Red Mountain Park,supporting,yes,candidate
Southeast,AL,Birmingham,Ruffner Mountain,supporting,yes,candidate
Southeast,MS,Jackson,LeFleur's Bluff State Park,anchor,yes,candidate
Southeast,MS,Jackson,Parham Bridges Park,supporting,yes,candidate
Southeast,TN,Nashville,Centennial Park,anchor,yes,super-enriched
Southeast,TN,Nashville,Shelby Bottoms and Shelby Park,supporting,yes,super-enriched
Southeast,TN,Nashville,Warner Parks,supporting,yes,super-enriched
Southeast,TN,Nashville,Bicentennial Capitol Mall State Park,anchor,yes,super-enriched
Southeast,TN,Nashville,Wasioto Park,anchor,yes,super-enriched
Southeast,TN,Nashville,Radnor Lake State Natural Area,anchor,yes,super-enriched
Southeast,TN,Nashville,Fort Negley Park,supporting,yes,super-enriched
Southeast,TN,Nashville,Two Rivers Park,anchor,yes,super-enriched
Southeast,TN,Memphis,Shelby Farms Park,anchor,yes,candidate
Southeast,TN,Memphis,Overton Park,supporting,yes,candidate
Southeast,TN,Memphis,Tom Lee Park,supporting,yes,candidate
Southeast,KY,Louisville,Cherokee Park,anchor,yes,candidate
Southeast,KY,Louisville,Louisville Waterfront Park,supporting,yes,candidate
Southeast,KY,Louisville,Iroquois Park,supporting,yes,candidate
South Central,AR,Little Rock,Riverfront Park,anchor,yes,candidate
South Central,AR,Little Rock,Two Rivers Park,supporting,yes,candidate
South Central,LA,New Orleans,New Orleans City Park,anchor,yes,candidate
South Central,LA,New Orleans,Audubon Park,supporting,yes,candidate
South Central,LA,New Orleans,Crescent Park,supporting,yes,candidate
South Central,LA,New Orleans,Louis Armstrong Park,anchor,yes,super-enriched
South Central,LA,New Orleans,Lafitte Greenway,anchor,yes,super-enriched
South Central,LA,New Orleans,Goldring Woldenberg Riverfront Park,anchor,yes,super-enriched
South Central,LA,New Orleans,Jackson Square,anchor,yes,super-enriched
South Central,LA,New Orleans,Bayou Sauvage Urban National Wildlife Refuge,anchor,yes,super-enriched
South Central,TX,Houston,Memorial Park,anchor,yes,candidate
South Central,TX,Houston,Hermann Park,supporting,yes,candidate
South Central,TX,Houston,Buffalo Bayou Park,supporting,yes,candidate
South Central,TX,Houston,Discovery Green,supporting,yes,super-enriched
South Central,TX,Houston,Levy Park,supporting,yes,super-enriched
South Central,TX,Houston,Emancipation Park,supporting,yes,super-enriched
South Central,TX,Houston,Gerald D. Hines Waterwall Park,supporting,yes,super-enriched
South Central,TX,Houston,Smither Park,supporting,yes,super-enriched
South Central,TX,Dallas,White Rock Lake Park,anchor,yes,candidate
South Central,TX,Dallas,Klyde Warren Park,supporting,yes,candidate
South Central,TX,Dallas,Fair Park,supporting,yes,candidate
South Central,TX,Dallas,Trinity River Audubon Center,supporting,yes,candidate
South Central,TX,Dallas,Cedar Ridge Preserve,supporting,yes,candidate
South Central,TX,Dallas,Bachman Lake Park,supporting,yes,candidate
South Central,TX,Dallas,Katy Trail,anchor,yes,candidate
South Central,TX,Dallas,Pioneer Plaza,supporting,yes,candidate
South Central,TX,Fort Worth,Trinity Park,anchor,yes,candidate
South Central,TX,Fort Worth,Gateway Park,supporting,yes,candidate
South Central,TX,Fort Worth,Fort Worth Water Gardens,supporting,yes,candidate
South Central,TX,Austin,Zilker Metropolitan Park,anchor,yes,candidate
South Central,TX,Austin,Mueller Lake Park,supporting,yes,candidate
South Central,TX,Austin,McKinney Falls State Park,supporting,yes,candidate
South Central,TX,Austin,Pease District Park,supporting,yes,candidate
South Central,TX,Austin,Waterloo Park,supporting,yes,candidate
South Central,TX,Austin,Butler Metro Park,supporting,yes,candidate
South Central,TX,Austin,Ann and Roy Butler Hike-and-Bike Trail,anchor,yes,candidate
South Central,TX,Austin,Emma Long Metropolitan Park,supporting,yes,candidate
South Central,TX,San Antonio,Brackenridge Park,anchor,yes,candidate
South Central,TX,San Antonio,Hemisfair,supporting,yes,candidate
South Central,TX,San Antonio,Phil Hardberger Park,supporting,yes,candidate
South Central,TX,San Antonio,San Antonio River Walk,anchor,yes,candidate
South Central,TX,San Antonio,San Antonio Missions National Historical Park,anchor,yes,candidate
South Central,TX,San Antonio,San Pedro Springs Park,supporting,yes,candidate
South Central,TX,San Antonio,Pearsall Park,supporting,yes,candidate
South Central,TX,San Antonio,Woodlawn Lake Park,supporting,yes,candidate
South Central,OK,Oklahoma City,Scissortail Park,anchor,yes,candidate
South Central,OK,Oklahoma City,Myriad Botanical Gardens,supporting,yes,candidate
South Central,OK,Oklahoma City,Lake Hefner Park,supporting,yes,candidate
South Central,OK,Tulsa,Gathering Place,anchor,yes,candidate
South Central,OK,Tulsa,Woodward Park,supporting,yes,candidate
Midwest,MO,St. Louis,Forest Park,anchor,yes,super-enriched
Midwest,MO,St. Louis,Tower Grove Park,anchor,yes,super-enriched
Midwest,MO,St. Louis,Gateway Arch National Park,anchor,yes,super-enriched
Midwest,MO,St. Louis,Citygarden Sculpture Park,anchor,yes,super-enriched
Midwest,MO,St. Louis,Missouri Botanical Garden,anchor,yes,super-enriched
Midwest,MO,Sunset Hills,Laumeier Sculpture Park,anchor,yes,super-enriched
Midwest,MO,Valley Park,Lone Elk Park,anchor,yes,super-enriched
Midwest,MO,Maryland Heights,Creve Coeur Lake Memorial Park,anchor,yes,super-enriched
Midwest,MO,Kansas City,Swope Park,anchor,yes,super-enriched
Midwest,MO,Kansas City,Jacob L. Loose Park,supporting,yes,super-enriched
Midwest,MO,Kansas City,Penn Valley Park,supporting,yes,super-enriched
Midwest,MO,Kansas City,Kessler Park,supporting,yes,super-enriched
Midwest,MO,Kansas City,Berkley Riverfront Park,anchor,yes,super-enriched
Midwest,KS,Shawnee,Shawnee Mission Park,anchor,yes,super-enriched
Midwest,KS,Overland Park,Overland Park Arboretum and Botanical Gardens,anchor,yes,super-enriched
Midwest,KS,Kansas City,Wyandotte County Lake Park,anchor,yes,super-enriched
Midwest,KS,Wichita,Sedgwick County Park,anchor,yes,candidate
Midwest,KS,Wichita,Riverside Park,supporting,yes,candidate
Midwest,NE,Omaha,The RiverFront,anchor,yes,candidate
Midwest,NE,Omaha,Zorinsky Lake Park,supporting,yes,candidate
Midwest,IA,Des Moines,Gray's Lake Park,anchor,yes,candidate
Midwest,IA,Des Moines,Water Works Park,supporting,yes,candidate
Midwest,IA,Des Moines,Pappajohn Sculpture Park,supporting,no,candidate
Midwest,MN,Minneapolis,Chain of Lakes Regional Park,anchor,yes,super-enriched
Midwest,MN,Minneapolis,Minnehaha Regional Park,supporting,yes,super-enriched
Midwest,MN,Minneapolis,Theodore Wirth Regional Park,supporting,yes,super-enriched
Midwest,MN,Minneapolis,Mississippi Gorge Regional Park,supporting,yes,super-enriched
Midwest,MN,Minneapolis,Minneapolis Sculpture Garden,supporting,yes,super-enriched
Midwest,MN,St. Paul,Como Regional Park,anchor,yes,super-enriched
Midwest,MN,St. Paul,Phalen Regional Park,supporting,yes,super-enriched
Midwest,MN,St. Paul,Harriet Island Regional Park,supporting,yes,super-enriched
Midwest,WI,Milwaukee,Lake Park,anchor,yes,candidate
Midwest,WI,Milwaukee,Veterans Park,supporting,yes,candidate
Midwest,WI,Madison,Olbrich Park,anchor,yes,candidate
Midwest,WI,Madison,Vilas Park,supporting,yes,candidate
Midwest,IL,Chicago,Lincoln Park,anchor,yes,candidate
Midwest,IL,Chicago,Millennium Park,supporting,yes,candidate
Midwest,IL,Chicago,Grant Park,supporting,yes,candidate
Midwest,IN,Indianapolis,White River State Park,anchor,yes,super-enriched
Midwest,IN,Indianapolis,Eagle Creek Park,anchor,yes,super-enriched
Midwest,IN,Indianapolis,Garfield Park,anchor,yes,super-enriched
Midwest,IN,Indianapolis,Holliday Park,anchor,yes,super-enriched
Midwest,IN,Indianapolis,Fort Harrison State Park,anchor,yes,super-enriched
Midwest,IN,Indianapolis,Riverside Regional Park,anchor,yes,super-enriched
Midwest,IN,Indianapolis,Broad Ripple Park,anchor,yes,super-enriched
Midwest,IN,Indianapolis,Monon Trail,anchor,yes,super-enriched
Midwest,MI,Detroit,Belle Isle Park,anchor,yes,super-enriched
Midwest,MI,Detroit,Campus Martius Park,anchor,yes,super-enriched
Midwest,MI,Detroit,Detroit RiverWalk,anchor,yes,super-enriched
Midwest,MI,Detroit,Ralph C. Wilson Jr. Centennial Park,anchor,yes,super-enriched
Midwest,MI,Detroit,Dequindre Cut,anchor,yes,super-enriched
Midwest,MI,Detroit,Rouge Park,anchor,yes,super-enriched
Midwest,MI,Detroit,Palmer Park,anchor,yes,super-enriched
Midwest,MI,Detroit,Hart Plaza,anchor,yes,super-enriched
Midwest,MI,Grand Rapids,Millennium Park,anchor,yes,candidate
Midwest,MI,Grand Rapids,Riverside Park,supporting,yes,candidate
Midwest,OH,Cleveland,Edgewater Park,anchor,yes,super-enriched
Midwest,OH,Cleveland,Rockefeller Park and Cultural Gardens,supporting,yes,super-enriched
Midwest,OH,Cleveland,Cleveland Lakefront Nature Preserve,supporting,yes,super-enriched
Midwest,OH,Cleveland,Public Square,anchor,yes,super-enriched
Midwest,OH,Cleveland,Wendy Park,supporting,yes,super-enriched
Midwest,OH,Cleveland,Rocky River Reservation,anchor,yes,super-enriched
Midwest,OH,Cleveland,Brecksville Reservation,anchor,yes,super-enriched
Midwest,OH,Cleveland,Cuyahoga Valley National Park,anchor,yes,super-enriched
Midwest,OH,Columbus,Scioto Mile,anchor,yes,candidate
Midwest,OH,Columbus,Franklin Park,supporting,yes,candidate
Midwest,OH,Columbus,Goodale Park,supporting,yes,candidate
Midwest,OH,Cincinnati,Eden Park,anchor,yes,super-enriched
Midwest,OH,Cincinnati,Smale Riverfront Park,supporting,yes,super-enriched
Midwest,OH,Cincinnati,Washington Park,supporting,yes,super-enriched
Midwest,OH,Cincinnati,Ault Park,anchor,yes,super-enriched
Midwest,OH,Cincinnati,Mount Airy Forest,anchor,yes,super-enriched
Midwest,OH,Cincinnati,Sawyer Point and Yeatman's Cove,supporting,yes,super-enriched
Midwest,OH,Cincinnati,Winton Woods,anchor,yes,super-enriched
Midwest,OH,Cincinnati,Summit Park,anchor,yes,super-enriched
Midwest,OH,Columbus,Scioto Mile,anchor,yes,super-enriched
Midwest,OH,Columbus,Franklin Park,anchor,yes,super-enriched
Midwest,OH,Columbus,Goodale Park,supporting,yes,super-enriched
Midwest,OH,Columbus,Schiller Park,supporting,yes,super-enriched
Midwest,OH,Columbus,Whetstone Park and Columbus Park of Roses,anchor,yes,super-enriched
Midwest,OH,Columbus,Highbanks Metro Park,anchor,yes,super-enriched
Midwest,OH,Columbus,Battelle Darby Creek Metro Park,anchor,yes,super-enriched
Midwest,OH,Columbus,Quarry Trails Metro Park,anchor,yes,super-enriched
Plains,ND,Fargo,Lindenwood Park,anchor,yes,candidate
Plains,ND,Fargo,Island Park,supporting,yes,candidate
Plains,SD,Sioux Falls,Falls Park,anchor,yes,candidate
Plains,SD,Sioux Falls,Terrace Park,supporting,yes,candidate
Mountain,MT,Billings,Riverfront Park,anchor,yes,candidate
Mountain,MT,Billings,Swords Park,supporting,yes,candidate
Mountain,WY,Cheyenne,Lions Park,anchor,yes,candidate
Mountain,CO,Denver,City Park,anchor,yes,candidate
Mountain,CO,Denver,Washington Park,supporting,yes,candidate
Mountain,CO,Denver,Cheesman Park,supporting,yes,candidate
Mountain,CO,Denver,Civic Center Park,anchor,yes,super-enriched
Mountain,CO,Denver,Confluence Park,anchor,yes,super-enriched
Mountain,CO,Denver,Sloans Lake Park,anchor,yes,super-enriched
Mountain,CO,Denver,Ruby Hill Park,anchor,yes,super-enriched
Mountain,CO,Denver,Commons Park,anchor,yes,super-enriched
Mountain,CO,Colorado Springs,Garden of the Gods,anchor,yes,candidate
Mountain,CO,Colorado Springs,Memorial Park,supporting,yes,candidate
Mountain,NM,Albuquerque,Balloon Fiesta Park,anchor,yes,candidate
Mountain,NM,Albuquerque,Elena Gallegos Open Space,supporting,yes,candidate
Mountain,NM,Albuquerque,Tingley Beach and Bosque,supporting,yes,candidate
Mountain,AZ,Phoenix,Papago Park,anchor,yes,super-enriched
Mountain,AZ,Phoenix,South Mountain Park and Preserve,supporting,yes,super-enriched
Mountain,AZ,Phoenix,Encanto Park,supporting,yes,super-enriched
Mountain,AZ,Phoenix,Phoenix Mountains Preserve,anchor,yes,super-enriched
Mountain,AZ,Phoenix,Camelback Mountain,anchor,yes,super-enriched
Mountain,AZ,Phoenix,Rio Salado Habitat Restoration Area,anchor,yes,super-enriched
Mountain,AZ,Phoenix,Steele Indian School Park,anchor,yes,super-enriched
Mountain,AZ,Phoenix,Margaret T. Hance Park,anchor,yes,super-enriched
Mountain,AZ,Tucson,Reid Park,anchor,yes,candidate
Mountain,AZ,Tucson,Rillito River Park,supporting,yes,candidate
Mountain,NV,Las Vegas,Sunset Park,anchor,yes,candidate
Mountain,NV,Las Vegas,Floyd Lamb Park at Tule Springs,supporting,yes,candidate
Mountain,NV,Las Vegas,Red Rock Canyon National Conservation Area,anchor,yes,candidate
Mountain,NV,Las Vegas,Springs Preserve,anchor,yes,candidate
Mountain,NV,Las Vegas,Clark County Wetlands Park,anchor,yes,candidate
Mountain,NV,Las Vegas,Tule Springs Fossil Beds National Monument,anchor,yes,candidate
Mountain,NV,Boulder City,Lake Mead National Recreation Area,anchor,yes,candidate
Mountain,NV,Overton,Valley of Fire State Park,anchor,yes,candidate
Mountain,NV,Reno,Rancho San Rafael Regional Park,anchor,yes,candidate
Mountain,NV,Reno,Idlewild Park,supporting,yes,candidate
Mountain,UT,Salt Lake City,Liberty Park,anchor,yes,super-enriched
Mountain,UT,Salt Lake City,Sugar House Park,anchor,yes,super-enriched
Mountain,UT,Salt Lake City,Memory Grove Park,anchor,yes,super-enriched
Mountain,UT,Millcreek,Millcreek Canyon,anchor,yes,super-enriched
Mountain,UT,Cottonwood Heights,Big Cottonwood Canyon,anchor,yes,super-enriched
Mountain,UT,Alta,Little Cottonwood Canyon,anchor,yes,super-enriched
Mountain,UT,Syracuse,Antelope Island State Park,anchor,yes,super-enriched
Mountain,UT,Magna,Great Salt Lake State Park,anchor,yes,super-enriched
Mountain,ID,Boise,Julia Davis Park,anchor,yes,candidate
Mountain,ID,Boise,Ann Morrison Park,supporting,yes,candidate
Mountain,ID,Boise,Kathryn Albertson Park,supporting,yes,candidate
Pacific Northwest,WA,Seattle,Discovery Park,anchor,yes,candidate
Pacific Northwest,WA,Seattle,Green Lake Park,supporting,yes,candidate
Pacific Northwest,WA,Seattle,Gas Works Park,supporting,yes,candidate
Pacific Northwest,WA,Seattle,Seward Park,anchor,yes,candidate
Pacific Northwest,WA,Seattle,Washington Park Arboretum,anchor,yes,candidate
Pacific Northwest,WA,Seattle,Volunteer Park,supporting,yes,candidate
Pacific Northwest,WA,Seattle,Kerry Park,supporting,yes,candidate
Pacific Northwest,WA,Seattle,Olympic Sculpture Park,anchor,yes,candidate
Pacific Northwest,WA,Seattle,Waterfront Park,anchor,yes,candidate
Pacific Northwest,WA,Seattle,Golden Gardens Park,anchor,yes,candidate
Pacific Northwest,WA,Spokane,Riverfront Park,anchor,yes,candidate
Pacific Northwest,WA,Spokane,Manito Park,supporting,yes,candidate
Pacific Northwest,OR,Portland,Washington Park,anchor,yes,super-enriched
Pacific Northwest,OR,Portland,Forest Park,supporting,yes,super-enriched
Pacific Northwest,OR,Portland,Tom McCall Waterfront Park,supporting,yes,super-enriched
Pacific Northwest,OR,Portland,Mt. Tabor Park,anchor,yes,super-enriched
Pacific Northwest,OR,Portland,Laurelhurst Park,anchor,yes,super-enriched
Pacific Northwest,OR,Portland,Cathedral Park,anchor,yes,super-enriched
Pacific Northwest,OR,Portland,Peninsula Park,anchor,yes,super-enriched
Pacific Northwest,OR,Portland,Powell Butte Nature Park,anchor,yes,super-enriched
Pacific,CA,San Francisco,Golden Gate Park,anchor,yes,candidate
Pacific,CA,San Francisco,The Presidio,supporting,yes,candidate
Pacific,CA,San Francisco,Mission Dolores Park,supporting,yes,candidate
Pacific,CA,San Francisco,Lands End,anchor,yes,candidate
Pacific,CA,San Francisco,Crissy Field,anchor,yes,candidate
Pacific,CA,San Francisco,Yerba Buena Gardens,supporting,yes,candidate
Pacific,CA,San Francisco,Salesforce Park,supporting,yes,candidate
Pacific,CA,San Francisco,Alamo Square,supporting,yes,candidate
Pacific,CA,San Francisco,Ocean Beach,anchor,yes,candidate
Pacific,CA,San Francisco,Sunset Dunes,anchor,yes,candidate
Pacific,CA,Oakland,Lake Merritt,anchor,yes,candidate
Pacific,CA,Oakland,Joaquin Miller Park,supporting,yes,candidate
Pacific,CA,Oakland,Redwood Regional Park,supporting,yes,candidate
Pacific,CA,San Jose,Alum Rock Park,anchor,yes,candidate
Pacific,CA,San Jose,Kelley Park,supporting,yes,candidate
Pacific,CA,San Jose,Guadalupe River Park,supporting,yes,candidate
Pacific,CA,Sacramento,William Land Regional Park,anchor,yes,candidate
Pacific,CA,Sacramento,Discovery Park,supporting,yes,candidate
Pacific,CA,Sacramento,Capitol Park,supporting,yes,candidate
Pacific,CA,Los Angeles,Griffith Park,anchor,yes,super-enriched
Pacific,CA,Los Angeles,Elysian Park,supporting,yes,super-enriched
Pacific,CA,Los Angeles,Exposition Park,anchor,yes,super-enriched
